Data,Iprec
21.58,0
21.63,0
21.67,0
21.71,0
21.75,0
21.79,0
21.83,0
21.88,0
21.92,0
21.96,0
22,0
22.04,0
22.08,0
22.13,0
22.17,0
22.21,0
22.25,0
22.29,0.2
22.33,0
22.38,0
22.42,0
22.46,0
22.5,0
22.54,0.2
22.58,0.2
22.63,0
22.67,0.2
22.71,0
22.75,0.2
22.79,0
22.83,0
22.88,0
22.92,0
22.96,0
23,0
23.04,0
23.08,0
23.13,0
23.17,0
23.21,0
23.25,0
23.29,0
23.33,0
23.38,0
23.42,0
23.46,0
23.5,0
23.54,0
23.58,0
23.63,0
23.67,0
23.71,0
23.75,0
23.79,0
23.83,0
23.88,0
23.92,0
23.96,0
24,0
24.04,0
24.08,0
24.13,0
24.17,0
24.21,0
24.25,0
24.29,0
24.33,0
24.38,0
24.42,0
24.46,0
24.5,0
24.54,0
24.58,0
24.63,0
24.67,0
24.71,0
24.75,0
24.79,0
24.83,0
24.88,0
24.92,0
24.96,0
25,0
25.04,0
25.08,0
25.13,0
25.17,0
25.21,0
25.25,0
25.29,0
25.33,0
25.38,0
25.42,0
25.46,0
25.5,0
25.54,0
25.58,0
25.63,0
25.67,0
25.71,0
25.75,0
25.79,0
25.83,0
25.88,0
25.92,0
25.96,0
26,0
26.04,0
26.08,0
26.13,0
26.17,0
26.21,0
26.25,0
26.29,0
26.33,0
26.38,0
26.42,0
26.46,0
26.5,0
26.54,0
26.58,0
26.63,0
26.67,0
26.71,0
26.75,0
26.79,0
26.83,0
26.88,0
26.92,0
26.96,0
27,0
27.04,0
27.08,0
27.13,0
27.17,0
27.21,0
27.25,0
27.29,0
27.33,0
27.38,0
27.42,0
27.46,0
27.5,0
27.54,0
27.58,0
27.63,0
27.67,0
27.71,0
27.75,0
27.79,0
27.83,0
27.88,0
27.92,0
27.96,0
28,0
28.04,0
28.08,0
28.13,0
28.17,0
28.21,0
28.25,0
28.29,0
28.33,0
28.38,0
28.42,0
28.46,0
28.5,0
28.54,0
28.58,0
28.63,0
28.67,0
28.71,0
28.75,0
28.79,0
28.83,0
28.88,0
28.92,0
28.96,0
29,0
29.04,0
29.08,0
29.13,0
29.17,0
29.21,0
29.25,0
29.29,0
29.33,0
29.38,0
29.42,0
29.46,0
29.5,0
29.54,0
29.58,0
29.63,0
29.67,0
29.71,0
29.75,0
29.79,0
29.83,0
29.88,0
29.92,0
29.96,0
30,0
30.04,0
30.08,0
30.13,0
30.17,0
30.21,0
30.25,0
30.29,0
30.33,0
30.38,0
30.42,0
30.46,0
30.5,0
30.54,0
30.58,0
30.63,0
30.67,0
30.71,0
30.75,0
30.79,0
30.83,0
30.88,0
30.92,0
30.96,0
31,0
31.04,0
31.08,0
31.13,0
31.17,0
31.21,0
31.25,0
31.29,0
31.33,0
31.38,0
31.42,0
31.46,0
31.5,0
31.54,0
31.58,0
31.63,0
31.67,0
31.71,0
31.75,0
31.79,0
31.83,0
31.88,0
31.92,0
31.96,0
32,0
32.04,0
32.08,0
32.13,0
32.17,0
32.21,0
32.25,0
32.29,0.2
32.33,0
32.38,0.2
32.42,0
32.46,0.2
32.5,0
32.54,0
32.58,0
32.63,0
32.67,0
32.71,0
32.75,0
32.79,0
32.83,0
32.88,0
32.92,0
32.96,0.2
33,0
33.04,0
33.08,0
33.13,0
33.17,0
33.21,0
33.25,0
33.29,0
33.33,0
33.38,0
33.42,0
33.46,0
33.5,0
33.54,0
33.58,0
33.63,0
33.67,0
33.71,0
33.75,0
33.79,0
33.83,0
33.88,0
33.92,0
33.96,0
34,0
34.04,0
34.08,0
34.13,0
34.17,0
34.21,0
34.25,0
34.29,0
34.33,0
34.38,0
34.42,0
34.46,0
34.5,0
34.54,0
34.58,0
34.63,0
34.67,0
34.71,0
34.75,0
34.79,0
34.83,0
34.88,0
34.92,0
34.96,0
35,0
35.04,0
35.08,0
35.13,0
35.17,0
35.21,0
35.25,0
35.29,0
35.33,0
35.38,0
35.42,0
35.46,0
35.5,0
35.54,0
35.58,0
35.63,0
35.67,0
35.71,0
35.75,0
35.79,0
35.83,0
35.88,0
35.92,0
35.96,0
36,0
36.04,0
36.08,0
36.13,0
36.17,0
36.21,0
36.25,0
36.29,0
36.33,0
36.38,0
36.42,0
36.46,0
36.5,0
36.54,0
36.58,0
36.63,0
36.67,0
36.71,0
36.75,0
36.79,0
36.83,0
36.88,0
36.92,0
36.96,0
37,0
37.04,0
37.08,0
37.13,0
37.17,0
37.21,0
37.25,0
37.29,0
37.33,0
37.38,0
37.42,0
37.46,0
37.5,0
37.54,0
37.58,0
37.63,0
37.67,0
37.71,0
37.75,0
37.79,0
37.83,0
37.88,0
37.92,0
37.96,0
38,0
38.04,0
38.08,0
38.13,0
38.17,0
38.21,0
38.25,0
38.29,0
38.33,0
38.38,0
38.42,0
38.46,0
38.5,0
38.54,0
38.58,0.2
38.63,0.2
38.67,0
38.71,0
38.75,0.4
38.79,0.8
38.83,1.4
38.88,0
38.92,0
38.96,0
39,0
39.04,0.2
39.08,0.4
39.13,0
39.17,0
39.21,0.2
39.25,0
39.29,0
39.33,0.2
39.38,0
39.42,0.2
39.46,0
39.5,0
39.54,0
39.58,0
39.63,0
39.67,0
39.71,0
39.75,0
39.79,0
39.83,0
39.88,0
39.92,0
39.96,0
40,0
40.04,0
40.08,0
40.13,0
40.17,0
40.21,0
40.25,0
40.29,0
40.33,0
40.38,0
40.42,0
40.46,0
40.5,0
40.54,0
40.58,0
40.63,0
40.67,0
40.71,0
40.75,0
40.79,0
40.83,0
40.88,0
40.92,0
40.96,0
41,0
41.04,0
41.08,0
41.13,0
41.17,0
41.21,0
41.25,0
41.29,0
41.33,0
41.38,0
41.42,0
41.46,0
41.5,0
41.54,0
41.58,0
41.63,0
41.67,0
41.71,0
41.75,0
41.79,0
41.83,0
41.88,0
41.92,0
41.96,0
42,0
42.04,0
42.08,0
42.13,0
42.17,0
42.21,0
42.25,0.2
42.29,0
